filename,normalized_category,normalized_subcategory,confidence,source
train_0_det108_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det121_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det117_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det106_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det123_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det125_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det114_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det118_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det120_crop.jpg,Health & Wellness,Pain Relief,1.0,gemini
train_0_det107_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det110_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det105_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det113_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det112_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det10_crop.jpg,Health & Wellness,Medicine & First Aid,1.0,gemini
train_0_det115_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det119_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det11_crop.jpg,Health & Wellness,Medicine & First Aid,1.0,gemini
train_0_det124_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det128_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det101_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det109_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det103_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det126_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det104_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det100_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det122_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det0_crop.jpg,Health & Wellness,Medicine & First Aid,1.0,gemini
train_0_det127_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det116_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det102_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det131_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det130_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det135_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det132_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
train_0_det133_crop.jpg,Other / Unclear,Unclear / Generic Product,1.0,gemini
